,region,floor,total_area,living_area,kitchen_area,floors_total,rooms
0,Правобережный,5,53.0,35.0,8.0,9,2
1,Ленинский,1,26.0,13.0,7.0,3,1
2,Unknow,1,67.9,47.7,6.0,3,3
3,Unknow,4,61.0,45.0,7.0,5,4
4,Орджоникидзевский,7,62.6,38.0,12.0,10,2
5,Орджоникидзевский,6,105.0,78.0,14.0,9,3
6,Орджоникидзевский,9,79.0,52.7,8.2,9,4
7,Орджоникидзевский,8,80.0,53.0,9.0,9,3
8,Ленинский,2,56.2,30.2,8.5,5,2
9,Unknow,5,32.0,18.0,8.0,9,1
10,Unknow,8,64.8,37.4,14.0,10,2
11,Unknow,1,57.1,35.0,10.0,10,2
12,Unknow,2,52.0,30.0,8.0,5,2
13,Unknow,3,81.2,65.0,9.0,5,3
14,Unknow,5,80.7,60.0,9.0,5,3
15,Правобережный,1,57.5,38.0,9.0,1,2
16,Unknow,6,36.7,20.0,9.0,9,1
17,Unknow,5,44.0,25.4,6.0,5,2
18,Unknow,1,30.0,18.0,6.0,5,1
19,Правобережный,2,31.0,18.0,6.0,5,1
20,Правобережный,5,56.1,41.0,7.0,5,3
21,Unknow,1,42.5,22.0,12.0,1,1
22,Unknow,9,65.2,41.0,8.3,9,3
23,Unknow,3,95.0,60.0,10.0,4,3
24,Ленинский,1,51.1,33.4,8.7,3,2
25,Орджоникидзевский,2,36.0,18.0,12.0,14,1
26,Ленинский,1,81.4,50.0,25.0,4,3
27,Ленинский,3,51.4,30.0,6.0,5,2
28,Орджоникидзевский,10,67.0,39.0,9.0,11,3
29,Ленинский,3,65.9,48.0,7.5,3,3
30,Unknow,1,200.0,100.0,25.0,1,4
31,Unknow,1,35.6,27.0,6.0,1,1
32,Unknow,4,60.0,47.0,12.0,10,2
33,Unknow,2,41.0,18.0,15.0,3,1
34,Unknow,3,66.0,49.0,9.0,9,3
35,Unknow,2,41.0,22.0,9.0,3,1
36,Unknow,2,57.0,40.0,12.0,3,2
37,Unknow,5,40.0,17.0,13.0,14,1
